date,area,new_cases,total_deaths
2020-03-21T17:00:00,Liguria,215,152
2020-03-21T17:00:00,Lombardia,3251,3095
2020-03-21T17:00:00,Marche,172,154
2020-03-21T17:00:00,Molise,11,7
2020-03-21T17:00:00,P.A. Bolzano,73,20
2020-03-21T17:00:00,P.A. Trento,140,28
2020-03-21T17:00:00,Piemonte,291,238
2020-03-21T17:00:00,Puglia,94,29
2020-03-21T17:00:00,Sardegna,37,4
2020-03-21T17:00:00,Sicilia,82,6
2020-03-21T17:00:00,Toscana,219,72
2020-03-21T17:00:00,Umbria,67,10
2020-03-21T17:00:00,Valle d'Aosta,49,8
2020-03-21T17:00:00,Veneto,586,146
2020-03-22T17:00:00,Abruzzo,58,33
2020-03-22T17:00:00,Basilicata,15,0
2020-03-22T17:00:00,Calabria,38,8
2020-03-22T17:00:00,Campania,92,29
2020-03-22T17:00:00,Emilia-Romagna,850,816
2020-03-22T17:00:00,Friuli Venezia Giulia,84,47
2020-03-22T17:00:00,Lazio,193,53
2020-03-22T17:00:00,Liguria,229,171
2020-03-22T17:00:00,Lombardia,1691,3456
2020-03-22T17:00:00,Marche,268,184
2020-03-22T17:00:00,Molise,5,7
2020-03-22T17:00:00,P.A. Bolzano,57,23
2020-03-22T17:00:00,P.A. Trento,172,35
2020-03-22T17:00:00,Piemonte,668,283
2020-03-22T17:00:00,Puglia,111,31
2020-03-22T17:00:00,Sardegna,9,7
2020-03-22T17:00:00,Sicilia,140,8
2020-03-22T17:00:00,Toscana,265,91
2020-03-22T17:00:00,Umbria,59,16
2020-03-22T17:00:00,Valle d'Aosta,51,9
2020-03-22T17:00:00,Veneto,505,169
2020-03-23T17:00:00,Abruzzo,76,38
2020-03-23T17:00:00,Basilicata,9,1
2020-03-23T17:00:00,Calabria,19,7
2020-03-23T17:00:00,Campania,90,49
2020-03-23T17:00:00,Emilia-Romagna,980,892
